AppID,Name,Release date,Estimated owners,Required age,Price,DLC count,Supported languages,Windows,Mac,Linux,Positive,Negative,Achievements,Recommendations,Average playtime forever,Median playtime forever,Categories,Genres,Tags,Developer,Publisher
590850,Night Lights,2019-06-07,20000 - 50000,0,4.99,0,"['English', 'French', 'Simplified Chinese', 'Russian']",True,False,False,52,4,15,0,0,0,"Single-player,Steam Achievements,Full controller support","Adventure,Casual,Indie,Strategy","['Precision Platformer', 'Side Scroller', 'Sokoban']","Meridian4,Grave Danger Games",Meridian4
1259290,Victorian Admirals Panama Crisis 1885,2020-03-09,0 - 20000,0,9.99,0,['English'],True,False,False,3,3,0,0,0,0,Single-player,"Simulation,Strategy","['Strategy', 'Simulation', 'Naval Combat']",Totem Games,Strategy First
404420,Sun Dogs,2015-10-29,0 - 20000,0,9.99,0,['English'],True,True,False,10,5,0,0,0,0,"Single-player,Includes level editor","Adventure,Casual,Indie","['Adventure', 'Indie', 'Casual']",Royal Polygon,Royal Polygon
977400,Cell to Singularity - Evolution Never Ends,2021-11-03,500000 - 1000000,0,0.0,0,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Portuguese', 'Russian', 'Italian', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Arabic', 'Ukrainian', 'Thai', 'Turkish', 'Vietnamese']",True,True,False,13520,1432,19,0,0,0,"Single-player,Steam Achievements,In-App Purchases,Partial Controller Support,Steam Cloud","Casual,Free to Play,Simulation","['Clicker', 'Free to Play', 'Simulation']",Computer Lunch,Computer Lunch
868090,Battle Summoners VR Basic,2018-06-22,20000 - 50000,0,0.0,0,['English'],True,False,False,33,10,0,0,0,0,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Stats,Remote Play Together","Action,Free to Play,Indie,Simulation,Strategy","['Free to Play', 'Strategy', 'Action']",VoleR Creative,VoleR Creative
1276370,Elva the Eco Dragon,2020-12-18,0 - 20000,0,8.99,0,"['English', 'Spanish - Spain', 'Japanese']",True,False,False,1,2,5,0,0,0,"Single-player,Full controller support","Adventure,Indie","['Indie', 'Action', 'Adventure']",Titan Deep Space Company,Titan Deep Space Company
517810,Caesar™ IV,2016-08-29,100000 - 200000,0,9.99,0,['English'],True,False,False,385,172,0,519,2362,4322,Single-player,"Simulation,Strategy","['Strategy', 'City Builder', 'Simulation']","Tilted Mill Entertainment, Inc.",Activision
457660,Andromedum,2016-04-18,0 - 20000,0,1.99,0,['English'],True,False,False,11,5,0,0,0,0,Single-player,"Casual,Indie","['Indie', 'Casual', 'VR']",Imbanova Entertainment Inc.,Imbanova Entertainment Inc.
1021860,Unravel Cyndy,2019-02-10,0 - 20000,18,0.0,0,['English'],True,False,False,2,0,19,0,0,0,Single-player,Indie,"['Nudity', 'Sexual Content', 'Indie']",DreamBig Games,DreamBig Games
1735980,Love Flute,2021-10-01,0 - 20000,0,9.99,1,"['Korean', 'English']",True,False,False,235,36,20,259,0,0,"Single-player,Steam Achievements,Steam Cloud","Casual,Indie","['Casual', 'Visual Novel', 'Anime']","TALESSHOP Co., Ltd.","TALESSHOP Co., Ltd."
1553420,Rifle Strike,2021-03-19,100000 - 200000,0,0.0,0,['English'],True,False,False,27,13,1,0,0,0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op","Action,Casual,Free to Play,Indie,Early Access","['Early Access', 'Action', 'Casual']","Štěpán Sedmík,Lukáš Vorlíček",Jakub Sedmík
1232150,A Little Golf Journey,2021-10-14,0 - 20000,0,19.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Simplified Chinese']",True,False,False,52,3,12,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Casual","['Sports', 'Golf', 'Puzzle']",Okidokico,Playtonic Friends
1424360,Pillow Simulator,2020-12-15,0 - 20000,0,6.99,0,"['English', 'Russian']",True,False,False,11,4,6,0,0,0,"Single-player,Steam Achievements","Adventure,Indie,RPG,Simulation","['Simulation', 'Indie', 'Physics']",SVGames,SVGames
822940,Tori,2018-04-19,0 - 20000,0,0.0,0,"['English', 'French', 'Spanish - Spain', 'Japanese']",True,True,False,25,1,0,0,0,0,Single-player,"Adventure,Casual,Indie","['Indie', 'Casual', 'Adventure']","Team Tori, LLC","Team Tori, LLC"
1329190,Fear Of The Dark,2020-06-06,0 - 20000,0,4.99,0,['English'],True,False,False,3,0,0,0,0,0,"Single-player,Partial Controller Support","Action,Adventure,Indie,RPG","['RPG', 'Indie', 'Action']",Samuel Hawes,Juniper Studios
626780,Botanica: Into the Unknown Collector's Edition,2017-04-26,0 - 20000,0,0.0,0,['English'],True,False,False,1,0,0,0,0,0,Single-player,"Adventure,Casual","['Casual', 'Adventure', 'Hidden Object']",Boomzap Entertainment,Big Fish Games
878310,Dishwasher,2021-01-12,0 - 20000,0,1.99,0,['English'],True,True,True,1,2,0,0,0,0,Single-player,"Casual,Strategy","['Casual', 'Strategy']",Lost Astronaut Studios,Lost Astronaut Studios
1576020,Saighead,2021-04-19,0 - 20000,0,2.99,0,['English'],True,False,False,3,0,24,0,0,0,Single-player,"Adventure,Indie,Strategy","['Strategy', 'Puzzle', 'Point & Click']",MasterTapp,MasterTapp
